Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Norway,0,1,-1,-4.329597667179922,-2.3553223426330288
Oman,0,1,-1,0.20075981605052481,-0.5661717157953126
Pakistan,0,1,-1,6.2756069942696575,3.3082731650494206
Palau,0,1,-1,-2.7249774951623884,-2.021241081520017
Panama,0,1,-1,0.005764192999148634,-0.9476958770124578
Papua New Guinea,0,1,-1,3.5512201536993655,0.03257487138555629
Paraguay,0,1,-1,0.9992880549825366,-0.5884069090315875
Peru,0,1,-1,-0.822028697339515,-0.5689806515013148
Philippines,0,1,-1,-0.03355362745496707,-0.0755819164127249
Poland,0,1,-1,-4.459114328948623,-2.02598406817183
Portugal,0,1,-1,-4.08306651544932,-2.2968187286916173
Puerto Rico,0,1,-1,-0.6613506817102331,-1.2511027007649698
Puerto Rico (US),0,1,-1,-2.4640920088657263,-2.0503183206978743
Qatar,0,1,-1,-1.122085382143197,-1.0159736874272387
Romania,0,1,-1,-2.620087806353694,-1.7263815583945012
Russian Federation,1,0,-1,-6.172525471513747,3.462172706783509
Rwanda,0,1,-1,7.262946014262652,0.9386225456733075
Samoa,0,1,-1,1.2750326496112254,-0.9580855550454468
San Marino,0,1,-1,-2.5885715147058974,-1.8285597035658185
Sao Tome and Principe,0,1,-1,1.7009632066904798,-1.275052327843386
Saudi Arabia,0,1,-1,-1.443578295581405,-0.6266650905345468
Senegal,0,1,-1,8.134545862788285,1.5497268964554003
Serbia,0,1,-1,-3.397749829848556,-2.0855194806743373
Seychelles,0,1,-1,-1.0873043858193392,-1.5661185775838733
Sierra Leone,0,1,-1,4.847908407035125,0.2199979428204609
Singapore,0,1,-1,-3.493628860519478,-2.280390008801499
Sint Maarten (Dutch part),0,1,-1,-1.248657716203821,-1.4823937310783388
Slovak Republic,0,1,-1,-2.9325375510770364,-2.032446048828114
Slovenia,0,1,-1,-3.8551623101163286,-2.4097614050154013
Solomon Islands,0,1,-1,4.167267818679422,-0.037511368733107515
Somalia,0,1,-1,-0.337701244895374,-1.1417641084637116
"Somalia, Fed. Rep.",0,1,-1,6.7043588228430355,0.84967113910408
South Africa,0,1,-1,0.0621572742978222,-0.10363310339861188
South Asia,0,1,-1,-1.4842757844204473,8.596178934745986
South Sudan,0,1,-1,2.4941500407765522,0.04153700896230192
Spain,0,1,-1,-4.582538527834226,-1.9843085861391085
Sri Lanka,0,1,-1,0.139392746820601,-0.7836950499617106
St. Kitts and Nevis,0,1,-1,-3.3321410105799507,-2.2292285446339397
St. Lucia,0,1,-1,-0.6866114942603541,-1.4299631937238662
St. Martin (French part),0,1,-1,-1.6075857784951,-1.5903801495679313
St. Vincent and the Grenadines,0,1,-1,-2.5791449715653187,-2.0177845097947644
Sub-Saharan Africa,1,0,-1,3.068665429921738,15.561333599412945
Sudan,0,1,-1,5.709969534555005,1.4181417488480648
Suriname,0,1,-1,1.6623673313485934,-0.8125302339843543
Sweden,0,1,-1,-4.401808732375175,-2.519929139261848
Switzerland,0,1,-1,-3.240837540881429,-2.148036070541505
Syrian Arab Republic,0,1,-1,3.400641873568194,0.43579395701859935
Tajikistan,0,1,-1,1.3539425949894472,-0.9251469350586906
Tanzania,0,1,-1,7.429017783132089,2.516593921147733
Thailand,0,1,-1,-1.867637084934088,-0.7421562880563126
Timor-Leste,0,1,-1,3.3579071748431204,-0.24754457465892768
Togo,0,1,-1,5.998509165324032,0.5949168210764688
Tonga,0,1,-1,0.5256495103814963,-1.0985241300204411
