Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Papua New Guinea,0,0,-1,4.493125279980939,0.21983091849829361
Paraguay,0,0,-1,2.6036273070222253,-0.34561095387669033
Peru,0,0,-1,2.658848758530021,0.32471505468088746
Philippines,0,0,-1,1.7120395003894835,2.281912989538092
Poland,0,0,-1,-0.8955146339770959,2.0507704691164017
Portugal,0,0,-1,-3.161947190455956,-0.5796933955977039
Post-demographic dividend,0,0,-1,0.24838903546931926,0.14574870466926904
Pre-demographic dividend,0,0,-1,0.7206133052218284,0.5227912159821135
Puerto Rico (US),0,0,-1,-2.6712308721236337,0.15501312110498483
Qatar,0,0,-1,2.202960090326546,3.4398183501049964
Romania,0,0,-1,-1.63197117663859,0.9372779564777977
Russian Federation,0,0,-1,-0.7906483572537634,1.631445098842062
Rwanda,0,0,-1,2.9706837803360737,-3.23743565742804
Samoa,0,0,-1,-0.022217868068706265,-1.343087951273203
San Marino,0,0,-1,-0.6652454412839116,1.2299736654410685
Sao Tome and Principe,0,0,-1,1.5002396277202468,-1.490648601539004
Saudi Arabia,0,0,-1,-1.2774775537364278,-0.6226533851061616
Senegal,0,0,-1,4.030455497824601,-0.1298023740312912
Serbia,0,0,-1,-2.627183548959614,-2.264807787788527
Seychelles,0,0,-1,1.3753662447490023,-0.272722516492041
Sierra Leone,0,0,-1,5.095705629883996,-0.2777698877643969
Singapore,0,0,-1,-2.2131951832786725,4.252260885959311
Sint Maarten (Dutch part),0,0,-1,-1.458341252606791,-0.10294750102847199
Slovak Republic,0,0,-1,-3.7083733926626983,0.26875696255581366
Slovenia,0,0,-1,-1.9572546441384415,1.6934683881984516
Small states,0,0,-1,-0.6820556660052935,-0.8164509921561497
Solomon Islands,0,0,-1,5.897189037628632,0.3467740216875041
"Somalia, Fed. Rep.",0,0,-1,-3.058239017367433,-3.8592030985033725
South Africa,0,0,-1,-7.280539678751843,-7.819402631282885
South Asia,0,0,-1,0.4574356634340438,1.8488755399064207
South Asia (IDA & IBRD),0,0,-1,-0.23213170114086143,-0.5584327855937214
South Sudan,0,0,-1,-0.9160187197765203,-2.9915057533604648
Spain,0,0,-1,-6.181583662827419,-2.443342987623063
Sri Lanka,0,0,-1,0.26301377079669425,0.2625949826930739
St. Kitts and Nevis,0,0,-1,-1.116310505491486,0.18028346780918622
St. Lucia,0,0,-1,-5.891146629239332,-5.275889063558973
St. Martin (French part),0,0,-1,0.3126317951446134,0.13528199962341647
St. Vincent and the Grenadines,0,0,-1,-3.519070330906556,-4.725502641949178
Sub-Saharan Africa,0,0,-1,1.4969754913236328,0.8103001881119887
Sub-Saharan Africa (IDA & IBRD countries),0,0,-1,0.5286503549756483,0.32641871109220616
Sub-Saharan Africa (excluding high income),0,0,-1,0.4140557731800944,0.21651662332284236
Sudan,0,0,-1,-1.428289042354745,-2.960371412059417
Suriname,0,0,-1,-0.5498025800022702,-0.70254140725373
Sweden,0,0,-1,-3.8819903174569665,0.8679104845684179
Switzerland,0,0,-1,-2.892835089576032,3.7715657390592217
